iter	Passed	Remaining
0	0	36
1	0	35
2	1	33
3	1	33
4	1	32
5	1	31
6	2	31
7	2	30
8	2	30
9	3	29
10	3	28
11	3	28
12	4	27
13	4	27
14	4	27
15	5	27
16	5	27
17	6	27
18	6	27
19	6	27
20	7	27
21	7	27
22	8	26
23	8	26
24	8	26
25	9	25
26	9	25
27	9	25
28	10	24
29	10	24
30	10	23
31	10	23
32	11	22
33	11	22
34	11	22
35	12	21
36	12	21
37	13	21
38	13	21
39	13	20
40	14	20
41	14	20
42	15	20
43	15	19
44	15	19
45	16	19
46	16	19
47	17	18
48	17	18
49	18	18
50	18	17
51	18	17
52	19	17
53	19	16
54	19	16
55	20	16
56	20	15
57	21	15
58	21	14
59	21	14
60	22	14
61	22	13
62	23	13
63	23	13
64	23	12
65	24	12
66	24	12
67	25	11
68	25	11
69	26	11
70	26	10
71	27	10
72	27	10
73	27	9
74	28	9
75	28	9
76	28	8
77	29	8
78	29	7
79	29	7
80	30	7
81	30	6
82	30	6
83	31	5
84	31	5
85	32	5
86	32	4
87	33	4
88	33	4
89	33	3
90	34	3
91	34	3
92	35	2
93	35	2
94	35	1
95	36	1
96	36	1
97	37	0
98	37	0
99	37	0
