iter	Passed	Remaining
0	58	58401
1	58	29410
2	59	19738
3	59	14882
4	60	11978
5	60	10028
6	60	8634
7	61	7684
8	62	6868
9	62	6203
10	62	5661
11	63	5207
12	63	4822
13	63	4493
14	64	4205
15	64	3959
16	64	3747
17	65	3553
18	65	3386
19	65	3229
20	66	3086
21	66	2967
22	67	2852
23	67	2752
24	67	2651
25	68	2560
26	68	2480
27	69	2402
28	69	2328
29	69	2260
30	70	2199
31	70	2141
32	71	2085
33	71	2036
34	72	1988
35	72	1942
36	72	1899
37	73	1857
38	73	1814
39	73	1775
40	74	1736
41	74	1701
42	75	1669
43	75	1638
44	75	1606
45	76	1576
46	76	1549
47	76	1524
48	77	1503
49	77	1477
50	78	1455
51	78	1431
52	78	1409
53	79	1391
54	79	1371
55	80	1361
56	81	1342
57	81	1325
58	82	1310
59	82	1293
60	83	1278
61	83	1262
62	83	1249
63	84	1233
64	84	1220
65	85	1206
66	85	1192
67	85	1177
68	86	1166
69	86	1154
70	87	1142
71	87	1130
72	88	1120
73	88	1110
74	89	1098
75	89	1090
76	89	1078
77	90	1068
78	90	1058
79	91	1048
80	91	1038
81	91	1028
82	92	1016
83	92	1008
84	92	999
85	93	990
86	93	982
87	93	974
88	94	966
89	94	958
90	95	953
91	95	946
92	96	938
93	96	932
94	97	925
95	97	919
96	98	912
97	98	905
98	98	899
99	99	892
100	99	887
101	100	880
102	100	873
103	100	867
104	101	861
105	101	855
106	101	850
107	102	844
108	102	838
109	102	832
110	103	827
111	103	821
112	103	815
113	104	810
114	104	805
115	105	801
116	105	795
117	105	789
118	106	785
119	106	781
120	106	776
121	107	771
122	107	767
123	107	762
124	108	759
125	108	755
126	109	752
127	109	747
128	110	744
129	110	741
130	111	736
131	111	732
132	111	728
133	112	725
134	112	720
135	112	717
136	113	714
137	113	710
138	114	708
139	114	705
140	115	701
141	115	697
142	115	694
143	116	691
144	116	688
145	117	685
146	117	681
147	117	678
148	118	675
149	118	673
150	119	670
151	119	668
152	120	668
153	121	665
154	121	662
155	121	659
156	122	657
157	122	653
158	123	651
159	123	648
160	123	644
161	124	641
162	124	639
163	124	636
164	125	634
165	126	633
166	126	630
167	126	628
168	127	627
169	127	623
170	128	621
171	128	619
172	129	617
173	129	615
174	130	613
175	130	612
176	131	610
177	132	611
178	132	609
179	133	607
180	133	604
181	134	603
182	134	601
183	135	599
184	135	597
185	135	594
186	136	592
187	136	591
188	138	592
189	138	590
190	139	589
191	139	587
192	140	585
193	140	584
194	141	582
195	141	580
196	142	579
197	142	578
198	143	576
199	143	574
200	144	572
201	144	570
202	144	569
203	145	567
204	145	565
205	146	563
206	146	562
207	147	560
208	147	558
209	147	556
210	148	554
211	148	553
212	149	551
213	150	552
214	150	550
215	151	548
216	151	547
217	152	545
218	152	543
219	152	542
220	153	540
221	153	538
222	154	537
223	154	535
224	155	534
225	155	532
226	155	530
227	156	529
228	156	528
229	157	525
230	157	524
231	158	523
232	158	521
233	158	520
234	159	518
235	159	517
236	160	515
237	160	513
238	160	512
239	161	510
240	161	509
241	162	507
242	162	506
243	162	504
244	163	503
245	163	501
246	164	500
247	164	498
248	164	496
249	165	495
250	165	494
251	165	492
252	166	491
253	166	489
254	167	488
255	167	486
256	167	484
257	168	483
258	168	482
259	168	480
260	169	479
261	169	478
262	170	476
263	170	475
264	170	474
265	171	472
266	171	471
267	172	469
